"Casting de maduras (2001) (V)","Casting de maduras",2001
"Cat in the Hat, The (1971) (TV)","Cat in the Hat, The",1971
"Cat's Whiskers, The (1925)","Cat's Whiskers, The",1925
"Catching a Runaway Team (1897)","Catching a Runaway Team",1897
"Ce que les Flots Racontent (1916)","Ce que les Flots Racontent",1916
"Celebrity Billiards","Celebrity Billiards",1967
"Centennial Highlights (1975)","Centennial Highlights",1975
"Chamkee (1952)","Chamkee",1952
"Chann Pardesi (1980)","Chann Pardesi",1980
"Chansons ont leur destin (1953)","Chansons ont leur destin",1953
"Cheveux de ma mère, Les (2004)","Cheveux de ma mère, Les",2004
"Chickboxin Underground (1999)","Chickboxin Underground",1999
"Chikago in zwei Hälften (1968)","Chikago in zwei Hälften",1968
"Chirveuli mezoblebi (1945)","Chirveuli mezoblebi",1945
"Chompin' at the Bit (1997) (V)","Chompin' at the Bit",1997
"Chwila wspomnien: rok 1956/1957 (1964)","Chwila wspomnien: rok 1956/1957",1964
"Cine ma striga? (1979)","Cine ma striga?",1979
"Clash of the Ash, The (1987)","Clash of the Ash, The",1987
"Clemi flüchtet (1994)","Clemi flüchtet",1994
"Club de señoritas (1956)","Club de señoritas",1956
"Coeurs de couleur (1989)","Coeurs de couleur",1989
"Cold Clues: Guilty Conscience (2002) (TV)","Cold Clues: Guilty Conscience",2002
"Colgate Comedy Hour, The","Colgate Comedy Hour, The",1955
"Colombes, Les (1972)","Colombes, Les",1972
"Comedy Club All-Star 4 with Woody Harrelson (1990) (TV)","Comedy Club All-Star 4 with Woody Harrelson",1990
"Comedy Tonight","Comedy Tonight",1970
"Como Se Fabrica o Sabão (1935)","Como Se Fabrica o Sabão",1935
"Comrades of Summer, The (1992) (TV)","Comrades of Summer, The",1992
"Consultation, La (1985)","Consultation, La",1985
"Conte à regler (1978)","Conte à regler",1978
"Contestatarios (Poemágenes 1) (1975)","Contestatarios (Poemágenes 1)",1975
"Cook's Revenge (1916)","Cook's Revenge",1916
"Corbeau et le renard, Le (1969)","Corbeau et le renard, Le",1969
"Corinna Pabst - Fünf Kinder brauchen eine Mutter (1997) (TV)","Corinna Pabst - Fünf Kinder brauchen eine Mutter",1997
"Corrida de Vicente Segura y Cocherito de Bilbao (1911)","Corrida de Vicente Segura y Cocherito de Bilbao",1911
"Cowboy uit Iran (1999) (TV)","Cowboy uit Iran",1999
"Cricket Requiem (1999)","Cricket Requiem",1999
"Crime Takes a Holiday (1938)","Crime Takes a Holiday",1938
"Critical Assembly (2003) (TV)","Critical Assembly",2003
"Crni kisobran (1969)","Crni kisobran",1969
"Cross Country Run (1929)","Cross Country Run",1929
"Cross, The (1911)","Cross, The",1911
"Crónica de un extraño (1998)","Crónica de un extraño",1998
"Cry for Help: The Tracey Thurman Story, A (1989) (TV)","Cry for Help: The Tracey Thurman Story, A",1989
"CTV","CTV",-1
"Cumback Pussy 21 (1999) (V)","Cumback Pussy 21",1999
"Custody (2000)","Custody",2000
"Customers Wanted (1939)","Customers Wanted",1939
"Cutter to Houston","Cutter to Houston",1983
"Czas nadziei (1987)","Czas nadziei",1987
"Daikaijû Gamera (1965)","Daikaijû Gamera",1965
"Dakot Shel Tehila","Dakot Shel Tehila",2001
"Dame de lieudit, La (1993) (TV)","Dame de lieudit, La",1993
"Dame von Paris, Die (1927)","Dame von Paris, Die",1927
"Dance Comique (1945)","Dance Comique",1945
"Danchizuma hiasobi (1973)","Danchizuma hiasobi",1973
"Dao xi bei qu (1934)","Dao xi bei qu",1934
"Day & Date","Day & Date",-1
"Dead Sea Scrolls: Unraveling the Mystery (1998) (TV)","Dead Sea Scrolls: Unraveling the Mystery",1998
"Dead Wrong: The John Evans Story (1984) (TV)","Dead Wrong: The John Evans Story",1984
"Deadlock: A Passion for Murder (1997)","Deadlock: A Passion for Murder",1997
"Death of a Demon, The (2000)","Death of a Demon, The",2000
"Dekontaminacija bojnih otrova (1971)","Dekontaminacija bojnih otrova",1971
"Demon Possessed (1993)","Demon Possessed",1993
"Demonismeni, I (1975)","Demonismeni, I",1975
"Dernier mot, Le (1991) (TV)","Dernier mot, Le",1991
"Derren Brown Plays Russian Roulette Live (2003) (TV)","Derren Brown Plays Russian Roulette Live",2003
"Dertli irmak (1958)","Dertli irmak",1958
"Desert of Fear (1993) (V)","Desert of Fear",1993
"Décalages au Palais des Glaces (1997) (V)","Décalages au Palais des Glaces",1997
"Digging for Dutch: The Search for the Lost Treasure of Dutch Schultz (2001)","Digging for Dutch: The Search for the Lost Treasure of Dutch Schultz",2001
"Dinner Date 1 (2002) (TV)","Dinner Date 1",2002
"Diva et pianiste (2000)","Diva et pianiste",2000
"Dive to Shark City with Neil Morrissey (1999) (TV)","Dive to Shark City with Neil Morrissey",1999
"Dny a noci (1953) (TV)","Dny a noci",1953
"Do Not Disturb (1999)","Do Not Disturb",1999
"Dollar's Worth, A (1921)","Dollar's Worth, A",1921
"Don Juan (1998)","Don Juan",1998
"Dottoressa sotto il lenzuolo, La (1976)","Dottoressa sotto il lenzuolo, La",1976
"Double Deal (1950)","Double Deal",1950
"Double Down (1993) (V)","Double Down",1993
"Drag My Feat (2003)","Drag My Feat",2003
"Dream Jeans (1987)","Dream Jeans",1987
"Dreimal die Woche... (1994) (TV)","Dreimal die Woche...",1994
"Drevená balada (1976)","Drevená balada",1976
"Drittes Reich, Ein (1975)","Drittes Reich, Ein",1975
"Dronningens nytårstale (1999) (TV)","Dronningens nytårstale",1999
"Drugi kongres komunisticke partije Srbije (1949)","Drugi kongres komunisticke partije Srbije",1949
"Drummer's Vacation, The (1912)","Drummer's Vacation, The",1912
"Duhat na bashta mi (1998) (TV)","Duhat na bashta mi",1998
"Dumb Luck (1926)","Dumb Luck",1926
"Dumm gelaufen (1997)","Dumm gelaufen",1997
"Dva patrona na mamonta (1990)","Dva patrona na mamonta",1990
"East Lynne (1910)","East Lynne",1910
"East Side, West Side (1927)","East Side, West Side",1927
"Easy Binder (1994) (V)","Easy Binder",1994
"Eclipse (1993) (V)","Eclipse",1993
"Eddie Izzard: Circle (2002) (V)","Eddie Izzard: Circle",2002
"Edge of Night, The","Edge of Night, The",1984
"Edge, The (1975)","Edge, The",1975
"Eglimata","Eglimata",1999
"Egoistes, Oi (1971)","Egoistes, Oi",1971
"Egoists, The (2003)","Egoists, The",2003
"Ehestreik (1930)","Ehestreik",1930
"Eigen haard is goud waard (1973)","Eigen haard is goud waard",1973
"Ela E os Homens (1985)","Ela E os Homens",1985
"Elephant in the Living Room (1990)","Elephant in the Living Room",1990
"Eleven P.M. (1928)","Eleven P.M.",1928
"Eli masali (1966)","Eli masali",1966
"Em Cada Coração um Punhal (1970)","Em Cada Coração um Punhal",1970
"Emmanuelle 5: A Time to Dream (1994)","Emmanuelle 5: A Time to Dream",1994
"En douane (1932)","En douane",1932
"End of the Circle, The (1913)","End of the Circle, The",1913
"Enfant du secret, L' (1996) (TV)","Enfant du secret, L'",1996
"Entre chats et loups (1985) (TV)","Entre chats et loups",1985
"Entre Mulheres e Espiões (1961)","Entre Mulheres e Espiões",1961
"Entscheidung im Eis - Eine Frau jagt den Mörder (2001) (TV)","Entscheidung im Eis - Eine Frau jagt den Mörder",2001
"Episimi agapimeni (1969)","Episimi agapimeni",1969
"Erlkönig, Der (1931)","Erlkönig, Der",1931
"Erotic Express (1983)","Erotic Express",1983
"Es geht seinen Gang oder Mühen in unserer Ebene (1981) (TV)","Es geht seinen Gang oder Mühen in unserer Ebene",1981
"Eshqe bozorg (1961)","Eshqe bozorg",1961
"Espejo público","Espejo público",-1
"Esprits de famille (1975) (TV)","Esprits de famille",1975
"Età da sballo, Un' (1983)","Età da sballo, Un'",1983
"Europa på spil (2002) (TV)","Europa på spil",2002
"European Sex Vacation (1986)","European Sex Vacation",1986
"Eyewitness to Summer, Sun & Storms (2001) (TV)","Eyewitness to Summer, Sun & Storms",2001
"Échange de femmes pour le week-end (1985)","Échange de femmes pour le week-end",1985
"È già ieri (2004)","È già ieri",2004
"Face in the Frame, The (1998)","Face in the Frame, The",1998
"Face to Face (1990) (TV)","Face to Face",1990
"Fade to Reality (1995)","Fade to Reality",1995
"Failure at Fifty, A (1940)","Failure at Fifty, A",1940
"Familia Vila, La (1950)","Familia Vila, La",1950
"Famous Ride, The (1960)","Famous Ride, The",1960
"Farba (1998)","Farba",1998
"Fast perfekt verlobt (2003) (TV)","Fast perfekt verlobt",2003
"Fat Beach Patrol (2000) (V)","Fat Beach Patrol",2000
"Fatal Flirtation, A (1914)","Fatal Flirtation, A",1914
"Fazan II (1969)","Fazan II",1969
"Fátima Viva (1982)","Fátima Viva",1982
"Feind im Blut (1931)","Feind im Blut",1931
"Feliz cumpleaños (1987)","Feliz cumpleaños",1987
"Femme papillon, La (2003)","Femme papillon, La",2003
"Férias de Laura (1986)","Férias de Laura",1986
"Fiabe della nonna, Le (1916)","Fiabe della nonna, Le",1916
"Fiction Makers, The (1968)","Fiction Makers, The",1968
"Fiesta Fiasco (1967)","Fiesta Fiasco",1967
"Finn & Co. (2002) (V)","Finn & Co.",2002
"First Child on the Moon (2001)","First Child on the Moon",2001
"Fish Story, A (1998)","Fish Story, A",1998
"Fishing with Gandhi (1998)","Fishing with Gandhi",1998
"Fjernsyn","Fjernsyn",1999
"Flat Harmony (1917)","Flat Harmony",1917
"Fleshtones (1985) (V)","Fleshtones",1985
"Flicka med melodi (1954)","Flicka med melodi",1954
"Flight Lieutenant (1942)","Flight Lieutenant",1942
"Flying Blind (1990) (TV)","Flying Blind",1990
"FN: Première traversée du Sahara en moto (1933)","FN: Première traversée du Sahara en moto",1933
"For the Good of Her Men (1912)","For the Good of Her Men",1912
"For Those Who Teach the Art of Peace (2003)","For Those Who Teach the Art of Peace",2003
"Forbidden Under the Censorship of the King (1972)","Forbidden Under the Censorship of the King",1972
"Forgotten (1933)","Forgotten",1933
"Fort 13 (1984)","Fort 13",1984
"Four Simples Rules (2003)","Four Simples Rules",2003
"Fratelli e sorelle (1991)","Fratelli e sorelle",1991
"Frau, nach der man sich sehnt, Die (1929)","Frau, nach der man sich sehnt, Die",1929
"Freight Train (1898)","Freight Train",1898
"Fremd in diesem Land (1981)","Fremd in diesem Land",1981
"Friendship Begins at Home (1949)","Friendship Begins at Home",1949
"From Dime to Dime (1960)","From Dime to Dime",1960
"Frontiers of Construction","Frontiers of Construction",1999
"Fuck Pigs 6 (2002) (V)","Fuck Pigs 6",2002
"Fun in the Glenwood Springs Pool (1902)","Fun in the Glenwood Springs Pool",1902
"Funny Boners","Funny Boners",1955
"Fünfzig Minuten (2001)","Fünfzig Minuten",2001
"Fyra nyanser av brunt (2004)","Fyra nyanser av brunt",2004
"Gag and Baggage (1952)","Gag and Baggage",1952
"Galazio diamanti, To","Galazio diamanti, To",1991
"Gebannt und erlöst (1919)","Gebannt und erlöst",1919
"Geheime Lüste blutjunger Mädchen (1978)","Geheime Lüste blutjunger Mädchen",1978
"Geile Früchtchen (1992) (V)","Geile Früchtchen",1992
"General Hospital","General Hospital",-1
"Genocide Factor, The","Genocide Factor, The",2000
"Gesundheit (1978) (TV)","Gesundheit",1978
"Ghost in the House (1988)","Ghost in the House",1988
"Ghosts of the Past (1991) (TV)","Ghosts of the Past",1991
"Gigli (2003)","Gigli",2003
"Ginevra (1992)","Ginevra",1992
"Girls (1919)","Girls",1919
"Glückliche Zeiten (1976)","Glückliche Zeiten",1976
"Go-Go-Girl vom Blow Up, Das (1969)","Go-Go-Girl vom Blow Up, Das",1969
"God's Gonna Trouble the Water (1998) (TV)","God's Gonna Trouble the Water",1998
"Going Places with Lowell Thomas, #28 (1936)","Going Places with Lowell Thomas, #28",1936
"Going Some (1914)","Going Some",1914
"Goldsucher von Arkansas, Die (1964)","Goldsucher von Arkansas, Die",1964
"Good Shepherd, The (2004)","Good Shepherd, The",2004
"Good Sport, The (1918)","Good Sport, The",1918
"Good, the Bad & the Innocent, The (2001)","Good, the Bad & the Innocent, The",2001
"Gore: Ultimate Soldier (2002) (VG)","Gore: Ultimate Soldier",2002
"Grand Central Murder (1942)","Grand Central Murder",1942
"Grande Família, A","Grande Família, A",1973
"Grandes ilusiones","Grandes ilusiones",1963
"Grandma Didn't Wave Back (1984) (TV)","Grandma Didn't Wave Back",1984
"Grass Arena, The (1991)","Grass Arena, The",1991
"Great Pearl Tangle, The (1916)","Great Pearl Tangle, The",1916
"Greatest, The (1977)","Greatest, The",1977
"Grihasthi (1963)","Grihasthi",1963
"Groeiperikelen (1985)","Groeiperikelen",1985
"Groeten uit Finsterwalde (1997)","Groeten uit Finsterwalde",1997
"Grüne Heinrich, Der (1994)","Grüne Heinrich, Der",1994
"Guardian System, The (1986) (TV)","Guardian System, The",1986
"Guardian's Luck, A (1912)","Guardian's Luck, A",1912
"Guépiot, Le (1981)","Guépiot, Le",1981
"Gulliver's Travels (2004)","Gulliver's Travels",2004
"Gun, a Car, a Blonde, A (1997)","Gun, a Car, a Blonde, A",1997
"Guns of August, The (1964)","Guns of August, The",1964
"Gurama-to no yuwaku (1959)","Gurama-to no yuwaku",1959
"Gusher, The (1913)","Gusher, The",1913
"H.O.P.L.A.","H.O.P.L.A.",1982
"Haida Carver (1964)","Haida Carver",1964
"Halfway to Heaven and Hell (2003)","Halfway to Heaven and Hell",2003
"Hampton Court Palace (1926)","Hampton Court Palace",1926
"Handsworth Songs (1986)","Handsworth Songs",1986
"Handvoll Gras, Eine (2000)","Handvoll Gras, Eine",2000
"Happy Go Lovely (1951)","Happy Go Lovely",1951
"Happy Hooligan Has Troubles with the Cook (1901)","Happy Hooligan Has Troubles with the Cook",1901
"Hard to Thrill (1991) (V)","Hard to Thrill",1991
"Hardesty House","Hardesty House",1986
"Harry and Max (2004)","Harry and Max",2004
"Harvest (1953) (TV)","Harvest",1953
"Hatsukoi no koro (1925)","Hatsukoi no koro",1925
"Hatta naltaki (1958)","Hatta naltaki",1958
"Hatyare (1989)","Hatyare",1989
"He Wai","He Wai",2001
"He Won a Ranch (1914)","He Won a Ranch",1914
"Heart of New York, The (1901)","Heart of New York, The",1901
"Hei dai chou (1973)","Hei dai chou",1973
"Help!","Help!",1988
"Hemliga Svensson (1933)","Hemliga Svensson",1933
"Hemmeligheder (1997)","Hemmeligheder",1997
"Her Friend, the Doctor (1916)","Her Friend, the Doctor",1916
"Here I Am (1962)","Here I Am",1962
"Het is de Schraapzucht, gentlemen (1996) (TV)","Het is de Schraapzucht, gentlemen",1996
"Heten, mint a gonoszok (1943)","Heten, mint a gonoszok",1943
"Hey Babe! (1980)","Hey Babe!",1980
"Hey There, It's Yogi Bear (1964)","Hey There, It's Yogi Bear",1964
"Highway 61 (1991)","Highway 61",1991
"Hija del hacendado, La (1997) (V)","Hija del hacendado, La",1997
"Historias Cortas de Madrid (1999)","Historias Cortas de Madrid",1999
"Hit the Deck (1955)","Hit the Deck",1955
"Hjem til fem","Hjem til fem",1995
"Hobbies: Model Bus Collector (2002)","Hobbies: Model Bus Collector",2002
"Hocu zivjeti (1982)","Hocu zivjeti",1982
"Hoempapa (1965)","Hoempapa",1965
"Hoero! Tekken (1982)","Hoero! Tekken",1982
"Holiday for Sinners (1952)","Holiday for Sinners",1952
"Holt of the Secret Service (1941)","Holt of the Secret Service",1941
"Hombre del Gran Río, El (1980)","Hombre del Gran Río, El",1980
"Hombres cultos, Los (1972)","Hombres cultos, Los",1972
"Home Is the Hero (1959)","Home Is the Hero",1959
"Hook Up, The (2003)","Hook Up, The",2003
"Horse Power (2002)","Horse Power",2002
"Hot Foot (1922)","Hot Foot",1922
"Hot Foot (1943)","Hot Foot",1943
"Huan le ren jian (1959)","Huan le ren jian",1959
"Humphrey Bogart and Lauren Bacall (2000) (TV)","Humphrey Bogart and Lauren Bacall",2000
"Hungry Bachelors Club, The (1999)","Hungry Bachelors Club, The",1999
"Hurlevent (1985)","Hurlevent",1985
"I Could Go on Singing (1963)","I Could Go on Singing",1963
"I Must Have a Name (1978)","I Must Have a Name",1978
"I treti (1978) (TV)","I treti",1978
"I Was a Communist for the FBI (1951)","I Was a Communist for the FBI",1951
"Ibiza (1962)","Ibiza",1962
"Ich schenk dir die Sterne (1991)","Ich schenk dir die Sterne",1991
"Ichigensan (1999)","Ichigensan",1999
"Identity-Kid (1988) (TV)","Identity-Kid",1988
"Idu Namma Alu (1988)","Idu Namma Alu",1988
"Ifugao (1954)","Ifugao",1954
"Ijô no hitobito: Densetsuno nijino sankyôdai (1993)","Ijô no hitobito: Densetsuno nijino sankyôdai",1993
"Ila Ayn (1958)","Ila Ayn",1958
"Ildikó Szabó (1999)","Ildikó Szabó",1999
"Illusion in Moll (1952)","Illusion in Moll",1952
"Im Auto durch zwei Welten (1929)","Im Auto durch zwei Welten",1929
"Im Schlaraffenland (1965) (TV)","Im Schlaraffenland",1965
"Imphy, capitale de la France (1995)","Imphy, capitale de la France",1995
"Importance of Goals, The (1951)","Importance of Goals, The",1951
"Improper Conduct (2003) (V)","Improper Conduct",2003
"In the City (2001)","In the City",2001
"In the Mind of...","In the Mind of...",2000
"Inauguration de la statue Rogier, Place de la Liberté (1897)","Inauguration de la statue Rogier, Place de la Liberté",1897
"Indio Pluma Roja, El (1975)","Indio Pluma Roja, El",1975
"Inferno, L' (1909)","Inferno, L'",1909
"Infidelities (1983) (TV)","Infidelities",1983
"Ingen mans kvinna (1953)","Ingen mans kvinna",1953
"Inner Glow of Things, The (2003)","Inner Glow of Things, The",2003
"Intimate Portrait: Bonnie Franklin (2003) (TV)","Intimate Portrait: Bonnie Franklin",2003
"Intrepid Journeys","Intrepid Journeys",2003
"Isis Blue 2 (1998) (V)","Isis Blue 2",1998
"Isle of Abandoned Hope (1914)","Isle of Abandoned Hope",1914
"Ispanska muha (1998)","Ispanska muha",1998
"It's a Boy (1920)","It's a Boy",1920
"Italiane e l'amore, Le (1961)","Italiane e l'amore, Le",1961
"Iza néni (1933)","Iza néni",1933
"Izmir sokaklarinda (1953)","Izmir sokaklarinda",1953
"Jack o kavalaris (1979)","Jack o kavalaris",1979
"Jagd nach der Wahrheit, Die (1920)","Jagd nach der Wahrheit, Die",1920
"Jagratha (1989)","Jagratha",1989
"Jake 2.0: The Tech (2003) (TV)","Jake 2.0: The Tech",2003
"Jawbreakers (2001) (V)","Jawbreakers",2001
"Jeolbeun poong gin ibyeol (1984)","Jeolbeun poong gin ibyeol",1984
"Jeolmeun shigyetab (1982)","Jeolmeun shigyetab",1982
"Jersey, The","Jersey, The",1999
