133322,"Haber, Jacqueline","Edge of Night, The","1981-1984"
133348,"Habig, Jeremy","Looking in the Fishbowl (2001)","producer"
133762,"Hammer, Dennis","Making of a Male Model (1983) (TV)","associate producer"
134003,"Hampton, Henry","BreakThrough: The Changing Face of Science in America","executive producer"
134230,"Haig, Don","Power Game, The (1997)","producer"
134457,"Hakami, Eitan","Shadow Magic (2000)","executive producer"
135179,"Halmi Jr., Robert","Face to Face (1990) (TV)","producer"
136275,"Han, Gab-jin","Mokmeyeo bulleobwado (1969)","producer"
136369,"Han, Sanping","Shadow Magic (2000)","executive producer"
136391,"Hanan Carruthers, Julie","General Hospital","1994-1999"
136474,"Handel, Leo A.","Patty (1962)","producer"
136719,"Hanna, William (I)","Hey There, It's Yogi Bear (1964)","producer"
137686,"Hardy, John (III)","Gigli (2003)","executive producer"
137982,"Harris, Lionel","Where the Buffalo Roam (1966) (TV)","producer"
138236,"Harrison, Joan (I)","They Won't Believe Me (1947)","producer"
138680,"Hartley, Neil","Ned Kelly (1970)","producer"
139518,"Hauff, Ulrike","Tatort - Schwarzer Advent (1998) (TV)","supervising producer"
139528,"Haugaard, Ilse","Ta' det som en mand, frue! (1975)","producer"
139637,"Havas","Last Enchantment (1995)","producer"
140951,"Hecht Lucari, Gianni","Riusciranno i nostri eroi a ritrovare l'amico misteriosamente scomparso in Africa? (1968)","producer"
141065,"Hecker, Leah","Nacht, in der ganz ehrlich überhaupt niemand Sex hatte, Die (2002) (TV)","producer"
141127,"Hedman, Katrine","Ta' det som en mand, frue! (1975)","producer"
141861,"Heller, Barbara (II)","Little Women in Transit (1996)","producer"
142008,"Hellman, Marcel","Happy Go Lovely (1951)","producer"
142197,"Heminway, Tobin","Shadow Magic (2000)","associate producer"
142317,"Henaut, Suzanne","Sous les draps, les étoiles (1989)","producer"
142484,"Hendricks, William L.","Fiesta Fiasco (1967)","producer"
142528,"Henenberg, Brett","9:30 (2003)","producer"
142785,"Henry, Jeff (I)","Warning: Parental Advisory (2002) (TV)","associate producer"
142881,"Henson, Jim (I)","Muppet Movie, The (1979)","producer"
143160,"Herman, Ace","Big Tip Off, The (1955)","associate producer"
143534,"Herrero, Gerardo","Amore imperfetto, L' (2002)","producer"
143676,"Herrmann, Peter (I)","Handvoll Gras, Eine (2000)","executive producer"
143755,"Hersh, David","Northwest Stampede (1948)","executive producer"
144047,"Herzogenrath, Felix","Inner Glow of Things, The (2003)","producer"
144173,"Hetzel, Eric","Rats, The (2002) (TV)","co-producer"
144568,"Heyward, Andy","Littles, The","executive producer"
144736,"Hickox, S. Bryan","Dead Wrong: The John Evans Story (1984) (TV)","executive producer"
144737,"Hickox, S. Bryan","Dead Wrong: The John Evans Story (1984) (TV)","producer"
145084,"Hildebrand, Frank","They Nest (2000) (TV)","producer"
147040,"Hoffermann, Franz","Premiere (1936)","producer"
147374,"Hofmann, Martin","Tatort - Eiskalt (1997) (TV)","executive producer"
147431,"Hofmann, Trish","Running with Scissors (2002)","executive producer"
148376,"Holt, Denis","I Could Go on Singing (1963)","associate producer"
148672,"Honert, Hans-Werner","Tatort - Eiskalt (1997) (TV)","producer"
149175,"Horan, Ralph","Michael (1996)","executive producer"
149487,"Horner, Robert J.","Trails of the Golden West (1931)","producer"
149618,"Horowitz, Susan","New York Nick","supervising producer"
149727,"Horta, Silvio","Jake 2.0: The Tech (2003) (TV)","executive producer"
149988,"Hotaling, Arthur","He Won a Ranch (1914)","producer"
150187,"Houseman, John (I)","Holiday for Sinners (1952)","producer"
150324,"Hovmand, Annelise","Ta' det som en mand, frue! (1975)","producer"
150949,"Howsam, Gary","Good Shepherd, The (2004)","producer"
151110,"Hu, Ann (I)","Shadow Magic (2000)","producer"
151515,"Hudec, Igor","Andel milosrdenství (1994)","producer"
152025,"Hughes, Todd (I)","Big Pile, The (1985)","producer"
152043,"Hughes, Vic","Rainbow","producer"
152541,"Hunter, John (III)","John and the Missus (1987)","producer"
152612,"Hunter, Steven","Deadlock: A Passion for Murder (1997)","producer"
153152,"Hutton, Clayton","Sign Please (1933)","producer"
155947,"Israel, David (II)","Pandora's Clock (1996) (TV)","executive producer"
156103,"Ito, Ryoji","Danchizuma hiasobi (1973)","planner"
156264,"Iveberg, Hans","Prins hatt under jorden (1980)","producer"
156415,"Iwata, Yuji","Help!","producer"
156574,"Izzard, Eddie","Eddie Izzard: Circle (2002) (V)","executive producer"
157299,"Jacobs, Jerry P.","Black Thunder (1997)","line producer"
157629,"Jacobson, Peter Marc","New York Nick","executive producer"
158003,"Jagannath (I)","Ratnadeep (1979)","producer"
158217,"James, Francesca","General Hospital","1990-1991"
158218,"James, Francesca","General Hospital","1994-1996"
159227,"Jeffrey, Tracey","Critical Assembly (2003) (TV)","producer"
159460,"Jensen, Anders P.","Lionheart (1990)","executive producer"
159687,"Jeon, Seok-jin","Utgo saneun Park Seo-bang (1972)","producer"
159852,"Jeong, Jin-woo","Seokhwachon (1972)","producer"
160788,"Johnson, Dave Alan","Medicine Ball","co-executive producer"
162507,"Jong, Debby de","Cowboy uit Iran (1999) (TV)","executive producer"
162753,"Joseph, Monica","Live with Regis and Kathie Lee","1999-2000"
162946,"Jourd'hui, Gérard","Don Juan (1998)","producer"
163494,"Jungfleisch, Michael","Blume der Hausfrau, Die (1999)","co-producer"
163792,"Jäger, Kurt","Mies Marseillesta (1937)","producer"
164088,"Kaden, Hans","Komischer Heiliger, Ein (1979)","producer"
164520,"Kaiser, Alfred","Drittes Reich, Ein (1975)","producer"
165323,"Kanehl, Oliver","Fünfzig Minuten (2001)","producer"
165565,"Kannan, R.","Ratnadeep (1979)","producer"
165703,"Kapinos, Matthias","Fünfzig Minuten (2001)","producer"
166656,"Karpinski, Maciej","Moje miasto (2002) (TV)","executive producer"
166698,"Karson, Eric","Lionheart (1990)","producer"
166802,"Kasander, Kees","Cowboy uit Iran (1999) (TV)","producer"
167316,"Katayama, Tetsuo","Littles, The","executive producer"
168985,"Kearney, Máire","Only Fools Buy Horses","producer"
169553,"Kelley, William (II)","Chickboxin Underground (1999)","executive producer"
169810,"Kelly, Luis","Tres historias de amor (1978)","producer"
170146,"Kende, Zsófia","Ildikó Szabó (1999)","producer"
170692,"Ker, Jonathon","Junky's Christmas, The (1993)","executive producer"
170921,"Kerr, David (III)","Meaningful Sex (2000) (TV)","producer"
171431,"Khanna, Amit","Loot Maar (1980)","executive producer"
171692,"Kidd, The","Black Butt Sisters Do New Orleans, The (1995) (V)","producer"
171994,"Kim, Chi-hon","Jeolmeun shigyetab (1982)","producer"
172518,"Kim, Won-du","Jeolbeun poong gin ibyeol (1984)","producer"
172702,"Kimura, Masao","Kishiwada shônen gurentai: Chikemuri junjô-hen (1997)","producer"
172729,"Kinany, Sheila","Rainbow","1990-1992"
173436,"Kirch, Doris","Entscheidung im Eis - Eine Frau jagt den Mörder (2001) (TV)","producer: SAT 1"
173624,"Kirkwood Jr., James","Some Kind of Hero (1982)","co-producer"
174268,"Klein, Harold J.","Celebrity Billiards","producer"
174437,"Kleine, George","Good Sport, The (1918)","producer"
175514,"Kobe, Gail","Edge of Night, The","late 1970s"
175632,"Koch, Howard W.","Some Kind of Hero (1982)","producer"
176110,"Kogan, Sergio","Ladrona, La (1954)","producer"
176249,"Kohlmar, Fred","Tall, Dark and Handsome (1941)","associate producer"
176528,"Kolko, Michael","Rave (2000)","producer"
176562,"Koller, Silvia","Tatort - Der Fremdwohner (2002) (TV)","producer) (2002"
176563,"Koller, Silvia","Tatort - Der Prügelknabe (2003) (TV)","producer) (2003"
176583,"Koller, Silvia","Tatort - Schwarzer Advent (1998) (TV)","producer: BR"
177131,"Koper, Peter","Tales from the Tower (2001)","producer"
177472,"Korytowski, Manfred","Meister Eder und sein Pumuckl","executive producer"
177843,"Kousakis, John Peter","Feeling Called Glory, A (1999)","co-executive producer"
178738,"Krauss, Ron (I)","Rave (2000)","producer"
180544,"Kunz, Roman","Meister Eder und sein Pumuckl","executive producer"
